geometry_type,coord_x,coord_y,feature_type,cdns,certs_BREAAM,certs_EUcoc,certs_LEED,certs_Other,certs_UT_cert,certs_UT_level,clouds,company_name,construction_date,country,fibres,gross_max_power,id,ixps,m2,name,networks,readyForService,readyForService_dt,construction_date_dt,readyForService_dmy,construction_date_dmy
Point,1.3580201,43.5929244,Feature,[],,,,,0,1,[],SDIS Service Départemental d'Incendie et de Secours,,France,[],,cb762ede-f5e8-4d70-b0d3-c4f2520e2b3c,[],,SDIS,[],,,,,
Point,1.649172,43.081955,Feature,[],,,,,0,1,[],INEONET,,France,[],,21d65efd-6170-4361-965c-732c2021f7a3,[],,INEONET,[],,,,,
Point,4.331971999999999,46.21022079999999,Feature,[],,,,,0,1,[],Centre Traitement Informatique Sud,,France,[],,7b9d8587-6256-4519-a85d-fc37391e2e3b,[],,CTI,[],,,,,
Point,0.6177471999999999,44.1932568,Feature,[],,,,,0,1,[],BMS Bristol Myers Squibb,,France,[],,c299d46d-b989-413f-874d-b301dce0de33,[],,BMS Bristol Myers Squibb,[],,,,,
Point,-1.553745,43.4467151,Feature,[],,,,,0,1,[],ADITU IZARBEL,,France,[],,bc2d5e83-a4d7-482e-82af-eeccd21b730d,[],,ADITU IZARBEL,[],,,,,
Point,0.2325907,44.4574302,Feature,[],,,,,0,1,[],Coaxis,,France,[],,6988f370-a7a1-476e-bdba-c79f00a3deea,[],,Coaxis ASP,[],,,,,
Point,-0.6063641,44.8890199,Feature,[],,,,,0,1,[],CIS VALLEY,,France,[],,0550c6b2-9b81-40fb-a472-9d276e3dd3d7,[],,CIS VALLEY,[],,,,,
Point,-0.657613,44.7739773,Feature,[],,,,,0,1,[],CHEOPS TECHNOLOGY,,France,[],,ade0506d-11a9-476c-accd-f4a01a9c63ea,[],,CHEOPS Canéjan,[],,,,,
Point,-0.6996167000000001,44.8609871,Feature,[],,,,,0,1,[],ArianeGroup,,France,[],,e815f9f8-21a8-4c89-9c1d-63764c8d7c99,[],,ASL site du Haillan ,[],,,,,
Point,6.9683003,43.5955821,Feature,[],,,,,,,[],Titan Datacenters,,France,[],,06cc7624-b62b-11e5-ad0b-02b4d6763261,[],,Mougins,[],,,,,
Point,6.171404,49.1487786,Feature,[],,,,,0,1,[],Arcan Networks,,France,[],,07053964-b62b-11e5-ad0b-02b4d6763261,[],100.0,Woippy,[],,,,,
Point,3.347402,49.075384,Feature,[],,,,,,,[],Ikoula,,France,[],0.0,078bf594-b62b-11e5-ad0b-02b4d6763261,[],,Picardie,[],,,,,
Point,2.557211,48.979952,Feature,[],,,,,,,[],CenturyLink,,France,[],,074353da-b62b-11e5-ad0b-02b4d6763261,[],,Tremblay,"[""Belgacom International Carrier Services""]",,,,,
Point,-3.498162,48.746483,Feature,[],,,,,,,[],Vodafone Group Plc,,France,[],,073f5c33-b62b-11e5-ad0b-02b4d6763261,[],,Keradrivin,[],,,,,
